Date,Close,High,Low,Open,Volume
2001-10-10,14.25124,14.56315,13.91173,13.91173,90542542
2001-10-11,14.65148,14.83366,14.35337,14.35337,79497826
2001-10-12,14.74257,15.06,14.63492,14.74809,87830406
2001-10-15,15.10417,15.2753,14.51899,14.66252,66342603
2001-10-16,15.10417,15.28634,14.99652,15.17593,45376787
2001-10-17,15.70866,15.82736,15.07104,15.18145,59714247
2001-10-18,15.2339,15.48508,15.13177,15.44092,42306432
2001-10-19,15.26426,15.37467,15.09865,15.20906,38912730
2001-10-22,15.06,15.64518,14.90543,15.27806,42206273
2001-10-23,15.17593,15.32775,15.08485,15.2753,26546026
2001-10-24,14.68184,15.34707,14.60731,15.34707,47907075
2001-10-25,14.56867,14.87782,14.44998,14.85022,27738810
2001-10-26,14.56867,14.56867,14.56867,14.56867,0
2001-10-29,14.37822,14.92751,14.19328,14.68461,30511794
2001-10-30,13.94209,14.2264,13.86481,14.13255,34700611
2001-10-31,14.04422,14.2678,13.70471,14.02214,107369902
2001-11-01,14.39201,14.51347,14.09115,14.18776,54707587
2001-11-02,14.51623,14.85022,14.35614,14.38098,44285269
2001-11-05,14.43618,14.54107,14.20156,14.54107,34339311
2001-11-06,14.49139,14.73981,14.28437,14.6294,33712838
2001-11-07,14.30369,14.71221,14.14912,14.657,22285087
2001-11-08,14.39201,14.48862,13.90345,14.29817,41576201
2001-11-09,14.57695,14.70944,14.36993,14.54659,34613167
2001-11-12,14.69564,14.8723,14.53555,14.62388,27757758
2001-11-13,14.81986,14.87782,14.53555,14.68461,32125312
2001-11-14,15.08209,15.16765,14.96891,15.01032,12335502
2001-11-15,15.34983,15.44092,15.01584,15.07104,31320535
2001-11-16,15.34983,15.34983,15.34983,15.34983,0
2001-11-19,16.85141,16.8873,15.68382,15.68382,71040018
2001-11-20,16.0675,17.16884,15.89912,17.11364,44342547
2001-11-21,16.25244,16.6858,15.87152,16.11994,40602096
2001-11-22,16.11442,16.47326,16.01505,16.28556,31503531
2001-11-23,16.11442,16.36837,15.7197,16.11994,36048423
2001-11-26,16.4843,16.65544,16.24416,16.32421,36689979
2001-11-27,16.18619,16.83209,16.0537,16.672,27767645
2001-11-28,16.03989,16.24415,15.75007,16.18619,32388329
2001-11-29,16.00677,16.1089,15.78871,16.00953,24401629
2001-11-30,16.00677,16.00677,16.00677,16.00677,0
2001-12-03,16.03438,16.21379,15.78871,16.07026,26789941
2001-12-04,16.47878,16.61679,16.06474,16.11994,34449596
2001-12-05,17.29582,17.43383,16.78241,16.84589,45707249
2001-12-06,17.11088,17.91411,16.89834,17.66569,48654406
2001-12-07,17.22405,17.43383,17.11364,17.11364,30398723
2001-12-10,17.39242,17.66293,17.16884,17.16884,20566620
2001-12-11,17.13848,17.547,17.06119,17.38966,23066337
2001-12-12,17.16884,17.66017,17.06395,17.27925,25557637
2001-12-13,17.16884,17.61048,16.32144,17.26545,57676438
2001-12-14,17.1302,17.22405,16.85141,17.16884,18745655
2001-12-17,17.1302,17.1302,17.1302,17.1302,0
2001-12-18,17.06671,17.36482,16.70512,17.11363,21648727
2001-12-19,17.04187,17.32894,16.94802,17.32894,35696394
2001-12-20,17.1302,17.22405,16.70512,17.03083,24662041
2001-12-21,17.13296,17.19644,16.83761,16.83761,14107101
2001-12-24,17.15228,17.24613,16.83761,16.89282,13869867
2001-12-25,17.15228,17.15228,17.15228,17.15228,0
2001-12-26,16.93698,17.27926,16.74928,17.10812,9321039
2001-12-27,16.6858,16.91766,16.46222,16.83761,35795461
2001-12-28,16.66648,16.83209,15.96537,16.56159,29663225
2001-12-31,16.90386,17.05015,16.4843,16.78241,16250994
2002-01-01,16.83761,17.05291,16.70511,16.83209,9645367
2002-01-02,16.76032,16.89282,16.61679,16.78517,9579602
2002-01-03,16.36561,16.94526,16.29936,16.83761,22102484
2002-01-04,17.72366,17.98312,16.45117,16.61679,62707885
2002-01-07,17.6657,18.24811,17.51664,17.61049,42526568
2002-01-08,17.547,17.94172,17.42279,17.72366,23035569
2002-01-09,18.12666,18.52137,17.45039,17.66569,87376887
2002-01-10,17.92239,18.47445,17.75402,18.22326,34331917
2002-01-11,18.04109,18.49377,17.55804,18.05213,42278396
2002-01-14,17.98036,18.99062,17.7899,18.27295,65636529
2002-01-15,17.8175,18.15702,17.68501,17.9362,23187797
2002-01-16,17.67949,18.02452,17.45039,17.94724,18179387
2002-01-17,17.59393,17.82855,17.42003,17.50008,27352232
2002-01-18,17.20197,18.21222,17.03083,18.21222,32497955
2002-01-21,17.24613,17.42831,17.16884,17.27925,14862513
2002-01-22,17.25717,17.59945,17.06119,17.22405,27447966
2002-01-23,17.37034,17.49456,17.15504,17.22405,16462461
2002-01-24,17.30962,17.50008,17.19645,17.41727,11791529
2002-01-25,17.37863,17.38967,17.22405,17.38691,8558065
2002-01-28,17.3593,17.88651,17.25993,17.44487,32907556
2002-01-29,17.478,17.58013,17.32894,17.44487,21020125
2002-01-30,17.33722,17.55528,17.06947,17.38414,19921605
2002-01-31,16.5671,17.7209,16.42909,17.7209,94887745
2002-02-01,16.59746,16.85969,16.45669,16.59746,62540337
2002-02-04,16.71616,16.92042,16.37665,16.92042,26850286
2002-02-05,16.22483,16.67199,16.12546,16.45117,45867165
2002-02-06,16.10338,16.42358,16.02886,16.28556,61498409
2002-02-07,17.00047,17.54976,16.11718,16.11994,113657573
2002-02-08,17.17989,17.36206,16.90386,17.00323,59848718
2002-02-11,17.03635,17.50007,16.95354,17.33446,34021971
2002-02-12,17.06947,17.36206,16.98667,17.11364,40477289
2002-02-13,17.11364,17.27925,17.07223,17.11364,47407776
2002-02-14,17.1992,17.46695,17.11916,17.24613,28104451
2002-02-15,17.42279,17.65465,17.17712,17.27925,69678425
2002-02-18,17.59668,17.76506,17.46143,17.55528,49775515
2002-02-19,17.71262,17.83131,17.58288,17.67673,40018084
2002-02-20,17.50283,17.58012,17.28753,17.52767,25876728
2002-02-21,17.35654,17.72089,17.25165,17.57736,19779727
2002-02-22,17.38414,17.40899,17.25717,17.27925,11669172
2002-02-25,17.3731,17.48627,17.27925,17.4007,12099948
2002-02-26,17.74022,17.88651,17.42279,17.52216,40451157
